countriesAndTerritories,country,iso3,unregion,unsubregion
Afghanistan,Afghanistan,AFG,Asia,Southern Asia
Albania,Albania,ALB,Europe,Southern Europe
Algeria,Algeria,DZA,Africa,Northern Africa
Andorra,Andorra,AND,Europe,Southern Europe
Angola,Angola,AGO,Africa,Middle Africa
Antigua_and_Barbuda,Antigua and Barbuda,ATG,Americas,Caribbean
Argentina,Argentina,ARG,Americas,South America
Paraguay,Paraguay,PRY,Americas,South America
Uruguay,Uruguay,URY,Americas,South America
Bolivia,Bolivia,BOL,Americas,South America
Armenia,Armenia,ARM,Asia,Western Asia
Australia,Australia,AUS,Oceania,Australia and New Zealand
Austria,Austria,AUT,Europe,Western Europe
Azerbaijan,Azerbaijan,AZE,Asia,Western Asia
Bahamas,Bahamas,BHS,Americas,Caribbean
Bahrain,Bahrain,BHR,Asia,Western Asia
Bangladesh,Bangladesh,BGD,Asia,Southern Asia
Barbados,Barbados,BRB,Americas,Caribbean
Belarus,Belarus,BLR,Europe,Eastern Europe
Belgium,Belgium,BEL,Europe,Western Europe
Belize,Belize,BLZ,Americas,Central America
Benin,Benin,BEN,Africa,Western Africa
Bhutan,Bhutan,BTN,Asia,Southern Asia
Bosnia_and_Herzegovina,Bosnia and Herzegovina,BIH,Europe,Southern Europe
Botswana,Botswana,BWA,Africa,Southern Africa
Brazil,Brazil,BRA,Americas,South America
Brunei_Darussalam,Brunei,BRN,Asia,South-Eastern Asia
Bulgaria,Bulgaria,BGR,Europe,Eastern Europe
Burkina_Faso,Burkina Faso,BFA,Africa,Western Africa
Myanmar,Myanmar,MMR,Asia,South-Eastern Asia
Burundi,Burundi,BDI,Africa,Eastern Africa
Cape_Verde,Cabo Verde,CPV,Africa,Western Africa
Cambodia,Cambodia,KHM,Asia,South-Eastern Asia
Cameroon,Cameroon,CMR,Africa,Middle Africa
Canada,Canada,CAN,Americas,Northern America
Central_African_Republic,Central African Republic,CAF,Africa,Middle Africa
Chad,Chad,TCD,Africa,Middle Africa
Chile,Chile,CHL,Americas,South America
China,China,CHN,Asia,Eastern Asia
Colombia,Colombia,COL,Americas,South America
Congo,Congo-Brazzaville,COG,Africa,Middle Africa
Democratic_Republic_of_the_Congo,Congo-Kinshasa,COD,Africa,Middle Africa
Costa_Rica,Costa Rica,CRI,Americas,Central America
Cote_dIvoire,Côte d'Ivoire,CIV,Africa,Western Africa
Croatia,Croatia,HRV,Europe,Southern Europe
Cuba,Cuba,CUB,Americas,Caribbean
Cyprus,Cyprus,CYP,Asia,Western Asia
Czechia,Czech Republic,CZE,Europe,Eastern Europe
Denmark,Denmark,DNK,Europe,Northern Europe
Djibouti,Djibouti,DJI,Africa,Eastern Africa
Dominica,Dominica,DMA,Americas,Caribbean
Dominican_Republic,Dominican Republic,DOM,Americas,Caribbean
Ecuador,Ecuador,ECU,Americas,South America
Egypt,Egypt,EGY,Africa,Northern Africa
El_Salvador,El Salvador,SLV,Americas,Central America
Equatorial_Guinea,Equatorial Guinea,GNQ,Africa,Middle Africa
